CODIGO;CODBARRA;PRODUTO;UNIDADE;DATA_CADASTRO;CODGRUPO;CODSUBGRUPO;CODFORNECEDOR;CODMARCA;DATA_ULTIMACOMPRA;NOTAFISCAL;PRECOCUSTO;PRECOVENDA;DATA_ULTIMAVENDA;ESTOQUE;ESTOQUEMINIMO;CODALIQUOTA;LOCALICAZAO;PESO;VALIDADE;COMISSAO;USA_BALANCA;USA_SERIAL;USA_GRADE;CODRECEITA;DATA_ULTIMACOMPRA_ANTERIOR;NOTAFISCAL_ANTERIOR;CODFORNECEDOR_ANTERIOR;PRECOCUSTO_ANTERIOR;PRECOVENDA_ANTERIOR;CUSTOMEDIO;AUTO_APLICACAO;AUTO_COMPLEMENTO;DATA_REMARCACAO_CUSTO;DATA_REMARCACAO_VENDA;PRECO_PROMOCAO;DATA_PROMOCAO;FIM_PROMOCAO;CST;NCM;NBM;CLASSIFICACAO_FISCAL;ALIQUOTA;IPI;REDUCAO;QTDE_EMBALAGEM;TIPO;PESO_LIQUIDO;FARMACIA_CONTROLADO;FARMACIA_APRESENTACAO;FARMACIA_REGISTRO_MEDICAMENTO;FARMACIA_PMC;ULTIMA_ALTERACAO;ULTIMA_CARGA;DATA_INVENTARIO;CUSTO_INVENTARIO;ESTOQUE_INVENTARIO;ESTOQUE_ANTERIOR;PRECOVENDA_NOVO;USA_RENTABILIDADE;QUANTIDADE_MINIMA_FAB;APRESENTACAO;SITUACAO;PRECOVENDA1;PRECOVENDA2;PRECOVENDA3;PRECOVENDA4;PRECOVENDA5;DESCONTO_PRECOVENDA;DATA_INVENTARIO_ATUAL;CUSTO_INVENTARIO_ATUAL;ESTOQUE_INVENTARIO_ATUAL;MARGEM_MINIMA;PISCOFINS;REFERENCIA_FORNECEDOR;COMISSAO1;MARGEM_DESCONTO;TAMANHO;COR;INCIDENCIA_PISCOFINS;VEIC_CHASSI;VEIC_SERIE;VEIC_POTENCIA;VEIC_PESO_LIQUIDO;VEIC_PESO_BRUTO;VEIC_TIPO_COMBUSTIVEL;VEIC_RENAVAM;VEIC_ANO_FABRICACAO;VEIC_ANO_MODELO;VEIC_TIPO;VEIC_TIPO_PINTURA;VEIC_COD_COR;VEIC_COR;VEIC_VIN;VEIC_NUMERO_MOTOR;VEIC_CMKG;VEIC_CM3;VEIC_DISTANCIA_EIXO;VEIC_COD_MARCA;VEIC_ESPECIE;VEIC_CONDICAO;LOTE_FABRICACAO;LOTE_VALIDADE;MARGEM_AGREGADA;CODBARRA_NOVARTIS;FARMACIA_DCB;FARMACIA_ABCFARMA;FARMACIA_APRESENTACAO_CAIXA;FARMACIA_PRINCIPIOATIVO;ULTIMA_COMPRA;FARMACIA_DATAVIGENCIA;FARMACIA_TIPO;USA_COMBUSTIVEL;REFERENCIA;PERDA;COMPOSICAO1;COMPOSICAO2;IAT;IPPT;SITUACAO_TRIBUTARIA;FLAG_SIS;FLAG_ACEITO;FLAG_EST;CSOSN;CODORIGINAL;CUSTO_ATACADO;UNIDADE_ATACADO;QTDE_EMBALAGEMATACADO;PMARGEM1;PMARGEM2;PMARGEM3;PMARGEM4;PMARGEM5;PMARGEMATACADO1;PMARGEMATACADO2;PMARGEMATACADO3;PMARGEMATACADO4;PMARGEMATACADO5;PMARGEMATACADO6;PRECOATACADO1;PRECOATACADO2;PRECOATACADO3;PRECOATACADO4;PRECOATACADO5;IND_CFOP;CFOP_DESC;USA_LOTE;IND_CFOP_VENDA_DENTRO;CODCONTA;IND_CFOP_VENDA_FORA;IND_CFOP_DEVOLUCAO_DENTRO;IND_CFOP_DEVOLUCAO_FORA;IND_CFOP_GARANTIA_DENTRO;IND_CFOP_GARANTIA_FORA;USA_TB_PC;QTD_PROMOCAO;ESTOQUE_NOVO;QTD_VENDAS;ADICIONAL1;ORIGEM;CEST;IMPRIME_PRODUCAO;INVERTE_PRECO_QTD;COMB_COD_ANP;COMB_DESC_ANP;FCP_PERCENT;DATA_PROMO_RELAMPAGO
000051;CSB023M;MD CAFFE MOCHA-CHOCOLATE;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;11.000;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000052;CSB023G;GD CAFFE MOCHA + CHOCOLATE;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000053;CSB024M;MD CHOCOLATE-BANANA;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000054;CSB024G;GD CHOCOLATE-BANANA;UN;02.06.2016 00:00;000007;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;01.04.2018 00:00;;;;000;;;2105.00.90;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000055;CSE008;PROTEINA DE SOJA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000056;CSE006;LEITE DE SOJA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000057;CSE005;MEL DE ABELHA;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000059;CSE003;IOGURTE;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000060;CSE007;LEITE DESNATADO;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
000061;CSE002;SORVETE;UN;02.06.2016 00:00;000002;;;;;;0.000;0.000;;0.000;;;;;;;2;0;0;;;;;;;;;;;02.06.2016 00:00;;;;000;;;19011090;12.000;;;;00 - Mercadoria para Revenda;;;;;;;;31.12.2015 00:00;0.000;0.000;;;;;;0;;;;;;;;;;;N;;;;;;NENHUMA;;;;;;;;;;;;;;;;;;;;;;;;1.000;;;;;;;;;;;;;;T;T;T;S;;;102;;;;;;;;;;;;;;;;;;;;;;;;5102;;;;;;;;;;;;0;;;2;;;;
